raw_timestamp,relative_to_unix_epoch_timestamp,device_name,position_x,position_y,position_z,rotation_x,rotation_y,rotation_z,rotation_w
1751960615681,0.7204393,SteamVR Tracker (Waist),-0.1410346,0.9789317,0.2620581,0.0265031,-0.0502405,0.03282192,0.9978458
1751960615708,0.7470282,SteamVR Tracker (Right Foot),-4.686789,-1.062421,3.385314,0.1916225,0.06983241,0.8576434,0.4720722
1751960615708,0.7470282,SteamVR Tracker (Left Foot),-0.2689134,0.04629874,0.0639931,-0.5510633,-0.2615186,-0.1521867,0.7776737
1751960615708,0.7470282,SteamVR Controller (Index Controller) (Left Hand),-0.2926287,1.065488,1.176297,-0.3086952,0.4240069,-0.2188316,0.8228233
1751960615708,0.7470282,SteamVR Controller (Index Controller) (Right Hand),-0.3155712,1.081238,1.211689,-0.4682196,-0.2786131,0.2429854,0.8025604
1751960615708,0.7470282,SteamVR Tracker (Waist),-0.1413954,0.978792,0.262777,0.02680052,-0.051236,0.03300709,0.9977811
1751960615734,0.7743199,SteamVR Tracker (Right Foot),-4.686602,-1.062586,3.385339,0.1916684,0.06988065,0.857652,0.4720308
1751960615734,0.7743199,SteamVR Tracker (Left Foot),-0.2691572,0.04636717,0.06396717,-0.550835,-0.2616661,-0.1522406,0.7777753
1751960615734,0.7743199,SteamVR Controller (Index Controller) (Left Hand),-0.2926342,1.065588,1.17636,-0.3086127,0.4240541,-0.2187431,0.8228535
1751960615736,0.7743199,SteamVR Controller (Index Controller) (Right Hand),-0.3156258,1.081113,1.211664,-0.4682248,-0.2786703,0.2429621,0.8025446
1751960615736,0.7743199,SteamVR Tracker (Waist),-0.1419963,0.9788053,0.2633706,0.02680357,-0.0530302,0.03286012,0.9976922
1751960615765,0.8051488,SteamVR Tracker (Right Foot),-4.686646,-1.062566,3.3853,0.191741,0.06980035,0.857674,0.4719732
1751960615765,0.8051488,SteamVR Tracker (Left Foot),-0.269089,0.04639411,0.06395644,-0.5506297,-0.2617705,-0.1521446,0.7779043
1751960615765,0.8051488,SteamVR Controller (Index Controller) (Left Hand),-0.2924,1.065394,1.176085,-0.3088578,0.4238905,-0.2188059,0.8228291
1751960615765,0.8051488,SteamVR Controller (Index Controller) (Right Hand),-0.3157108,1.080935,1.211665,-0.4682205,-0.2786814,0.2429511,0.8025466
1751960615765,0.8051488,SteamVR Tracker (Waist),-0.1424401,0.9787157,0.2639169,0.02754078,-0.05579324,0.03257786,0.9975306
1751960615798,0.8384308,SteamVR Tracker (Right Foot),-4.68684,-1.062561,3.385161,0.1917773,0.06995599,0.8576264,0.4720219
1751960615798,0.8384308,SteamVR Tracker (Left Foot),-0.2689456,0.04642844,0.06397444,-0.5506307,-0.2618176,-0.1522175,0.7778735
1751960615798,0.8384308,SteamVR Controller (Index Controller) (Left Hand),-0.2927082,1.06575,1.175989,-0.3086496,0.4239464,-0.218698,0.8229071
1751960615798,0.8384308,SteamVR Controller (Index Controller) (Right Hand),-0.3157887,1.080748,1.211651,-0.4681572,-0.2787366,0.2428553,0.8025934
1751960615798,0.8384308,SteamVR Tracker (Waist),-0.1427912,0.9784139,0.2646001,0.02720333,-0.05689482,0.03226015,0.997488
1751960615834,0.8723685,SteamVR Tracker (Right Foot),-4.68685,-1.062302,3.385267,0.1917762,0.06988803,0.8576133,0.4720561
1751960615835,0.8723685,SteamVR Tracker (Left Foot),-0.2688365,0.04636502,0.064134,-0.5504189,-0.2619525,-0.1521632,0.7779887
1751960615835,0.8723685,SteamVR Controller (Index Controller) (Left Hand),-0.2925306,1.065473,1.176017,-0.3087215,0.4238842,-0.2188025,0.8228844
1751960615835,0.8723685,SteamVR Controller (Index Controller) (Right Hand),0,0,0,0,0,0,1
1751960615835,0.8723685,SteamVR Tracker (Waist),-0.1431709,0.9785008,0.2654176,0.02936184,-0.0570233,0.03230203,0.9974181
1751960615865,0.9044787,SteamVR Tracker (Right Foot),-4.686825,-1.062399,3.385256,0.1918591,0.06987967,0.8576334,0.4719871
1751960615865,0.9044787,SteamVR Tracker (Left Foot),-0.2690404,0.04626226,0.06405848,-0.5504068,-0.261968,-0.1521711,0.7779904
1751960615865,0.9044787,SteamVR Controller (Index Controller) (Left Hand),-0.2923582,1.065482,1.176009,-0.308767,0.4238497,-0.2190178,0.8228278
1751960615865,0.9044787,SteamVR Controller (Index Controller) (Right Hand),0,0,0,0,0,0,1
1751960615865,0.9044787,SteamVR Tracker (Waist),-0.1439631,0.9785693,0.2659842,0.0275578,-0.05775083,0.03266594,0.9974158
1751960615894,0.9344794,SteamVR Tracker (Right Foot),-4.686758,-1.062313,3.385455,0.192022,0.0697747,0.8576288,0.471945
1751960615894,0.9344794,SteamVR Tracker (Left Foot),-0.2690448,0.0464108,0.06427044,-0.5504616,-0.2619902,-0.1521902,0.7779405
1751960615894,0.9344794,SteamVR Controller (Index Controller) (Left Hand),-0.2924873,1.065406,1.17595,-0.3086124,0.4237522,-0.2188833,0.8229718
1751960615894,0.9344794,SteamVR Controller (Index Controller) (Right Hand),0,0,0,0,0,0,1
1751960615894,0.9344794,SteamVR Tracker (Waist),-0.1442177,0.9787884,0.2666436,0.02540585,-0.05876947,0.03221241,0.9974282
1751960615926,0.9665508,SteamVR Tracker (Right Foot),-4.686702,-1.062415,3.385401,0.1918365,0.06996908,0.8576161,0.4720145
1751960615927,0.9665508,SteamVR Tracker (Left Foot),-0.2689624,0.04659009,0.06422389,-0.5505878,-0.2620304,-0.1522263,0.7778305
1751960615927,0.9665508,SteamVR Controller (Index Controller) (Left Hand),-0.2924075,1.065478,1.175981,-0.3086605,0.4237615,-0.2190871,0.8228948
1751960615927,0.9665508,SteamVR Controller (Index Controller) (Right Hand),0,0,0,0,0,0,1
1751960615927,0.9665508,SteamVR Tracker (Waist),-0.1445038,0.9785724,0.2671804,0.02774614,-0.06113546,0.03135809,0.9972509
1751960615954,0.9954525,SteamVR Tracker (Right Foot),-4.686789,-1.06232,3.385426,0.1919289,0.07004992,0.8575548,0.4720764
1751960615954,0.9954525,SteamVR Tracker (Left Foot),-0.2690468,0.04647183,0.06425858,-0.5504085,-0.2621627,-0.1522214,0.7779139
1751960615954,0.9954525,SteamVR Controller (Index Controller) (Left Hand),-0.292479,1.06545,1.175999,-0.3084228,0.4237632,-0.2189367,0.823023
1751960615954,0.9954525,SteamVR Controller (Index Controller) (Right Hand),0,0,0,0,0,0,1
1751960615954,0.9954525,SteamVR Tracker (Waist),-0.1446348,0.9782583,0.2679905,0.02985477,-0.05980326,0.03148327,0.9972668
1751960615990,1.029413,SteamVR Tracker (Right Foot),-4.686763,-1.062418,3.385441,0.1919292,0.0700027,0.8576066,0.471989
1751960615990,1.029413,SteamVR Tracker (Left Foot),-0.2690744,0.04631853,0.06390303,-0.5502034,-0.2623215,-0.1520876,0.7780315
1751960615990,1.029413,SteamVR Controller (Index Controller) (Left Hand),-0.2925481,1.065568,1.176074,-0.3084959,0.4237304,-0.2190175,0.822991
1751960615990,1.029413,SteamVR Controller (Index Controller) (Right Hand),-0.3168226,1.079659,1.212407,-0.4679548,-0.2787395,0.2430643,0.8026471
1751960615990,1.029413,SteamVR Tracker (Waist),-0.1450271,0.9780675,0.2684737,0.03179568,-0.05898379,0.03240673,0.9972261
1751960616021,1.061661,SteamVR Tracker (Right Foot),-4.686745,-1.062495,3.385391,0.1919737,0.07018899,0.857591,0.4719716
1751960616021,1.061661,SteamVR Tracker (Left Foot),-0.2690401,0.0464685,0.06396991,-0.5500877,-0.2624142,-0.1519854,0.778102
1751960616021,1.061661,SteamVR Controller (Index Controller) (Left Hand),-0.2925101,1.065496,1.176022,-0.3085085,0.4237033,-0.219073,0.8229855
1751960616021,1.061661,SteamVR Controller (Index Controller) (Right Hand),-0.3190439,1.079408,1.211944,-0.4680942,-0.2786454,0.2434679,0.8024762
1751960616021,1.061661,SteamVR Tracker (Waist),-0.1454203,0.9785388,0.2688985,0.02979197,-0.06156285,0.03209328,0.9971422
