raw_timestamp,relative_to_unix_epoch_timestamp,relative_to_video_first_frame_timestamp,focus_distance,frame_number,stability,status,gaze_forward_x,gaze_forward_y,gaze_forward_z,gaze_origin_x,gaze_origin_y,gaze_origin_z,left_forward_x,left_forward_y,left_forward_z,left_origin_x,left_origin_y,left_origin_z,left_status,left_pupil_diameter,left_iris_diameter,left_pupil_iris_ratio,left_eye_openness,right_forward_x,right_forward_y,right_forward_z,right_origin_x,right_origin_y,right_origin_z,right_status,right_pupil_diameter,right_iris_diameter,right_pupil_iris_ratio,right_eye_openness,inter_pupillary_distance
1000652913704624400,1746620201764,42.55913,0.9190474,3594184,0.3511056,Valid,0.1212769,-0.09837567,0.9877318,0,0,0,0.1580828,-0.09786101,0.9825645,-0.03456065,0,0,Tracked,4.248482,11.70092,0.3630896,0.7065272,0.08402839,-0.0987567,0.9915575,0.03456065,0,0,Tracked,4.314005,11.79979,0.3656,0.7449638,69.35
1000652913709623600,1746620201764,42.55913,0.9208729,3594185,0.3551752,Valid,0.1211315,-0.09838515,0.9877487,0,0,0,0.1578561,-0.09787229,0.9825999,-0.03456065,0,0,Tracked,4.248922,11.70092,0.3631273,0.7066671,0.08394543,-0.09876514,0.9915637,0.03456065,0,0,Tracked,4.31383,11.79979,0.3655852,0.7450265,69.35
1000652913714611600,1746620201788,42.58187,0.9225362,3594186,0.6561599,Valid,0.1209602,-0.09843597,0.9877647,0,0,0,0.1576114,-0.09792466,0.9826339,-0.03456065,0,0,Tracked,4.249228,11.70092,0.3631534,0.7068543,0.08383056,-0.09881504,0.9915684,0.03456065,0,0,Tracked,4.310478,11.79979,0.3653011,0.7450884,69.35
1000652913719587300,1746620201788,42.58187,0.923999,3594187,0.6572703,Valid,0.1207812,-0.09847423,0.9877827,0,0,0,0.1573687,-0.09796441,0.9826688,-0.03456065,0,0,Tracked,4.249581,11.70092,0.3631836,0.7071063,0.08370115,-0.09885235,0.9915757,0.03456065,0,0,Tracked,4.306921,11.79979,0.3649997,0.7451339,69.35
1000652913724586300,1746620201788,42.58187,0.9245485,3594188,0.6413088,Valid,0.1205732,-0.09856091,0.9877995,0,0,0,0.1571375,-0.0980518,0.9826971,-0.03456065,0,0,Tracked,4.24956,11.70092,0.3631818,0.707311,0.08350988,-0.09893844,0.9915832,0.03456065,0,0,Tracked,4.2955,11.79979,0.3640318,0.7452008,69.35
1000652913729586200,1746620201788,42.58187,0.9247629,3594189,0.6301425,Valid,0.12035,-0.09869318,0.9878135,0,0,0,0.156906,-0.09818437,0.9827209,-0.03456065,0,0,Tracked,4.244098,11.70092,0.362715,0.7075006,0.08329132,-0.09907033,0.9915884,0.03456065,0,0,Tracked,4.28939,11.79979,0.363514,0.7452561,69.35
1000652913734585300,1746620201788,42.58187,0.92428,3594190,0.6307953,Valid,0.1201146,-0.09883093,0.9878284,0,0,0,0.1566915,-0.09832198,0.9827414,-0.03456065,0,0,Tracked,4.240226,11.70092,0.3623841,0.7077187,0.08303417,-0.0992079,0.9915962,0.03456065,0,0,Tracked,4.285856,11.79979,0.3632145,0.7452893,69.35
1000652913739588900,1746620201813,42.60665,0.9237549,3594191,0.6170672,Valid,0.1198039,-0.09895201,0.987854,0,0,0,0.1564032,-0.09844327,0.9827752,-0.03456065,0,0,Tracked,4.240038,11.70092,0.362368,0.7079057,0.08269846,-0.09932847,0.9916123,0.03456065,0,0,Tracked,4.284274,11.79979,0.3630804,0.7453632,69.35
1000652913744597300,1746620201813,42.60665,0.9236385,3594192,0.9501459,Valid,0.1195149,-0.09908778,0.9878754,0,0,0,0.1561201,-0.09857935,0.9828065,-0.03456065,0,0,Tracked,4.240033,11.70092,0.3623675,0.7080512,0.0824009,-0.09946373,0.9916235,0.03456065,0,0,Tracked,4.283236,11.79979,0.3629924,0.7454105,69.35
1000652913749596500,1746620201813,42.60665,0.9231949,3594193,0.9562955,Valid,0.1192336,-0.09922627,0.9878955,0,0,0,0.1558582,-0.09871791,0.9828342,-0.03456065,0,0,Tracked,4.240038,11.70092,0.362368,0.7082189,0.0820986,-0.09960184,0.9916347,0.03456065,0,0,Tracked,4.28323,11.79979,0.362992,0.7454962,69.35
1000652913754595700,1746620201813,42.60665,0.9230397,3594194,0.9561464,Valid,0.1189123,-0.09939882,0.9879169,0,0,0,0.1555452,-0.09889067,0.9828664,-0.03456065,0,0,Tracked,4.240263,11.70092,0.3623873,0.7083901,0.08176751,-0.0997739,0.9916447,0.03456065,0,0,Tracked,4.284181,11.79979,0.3630725,0.7455511,69.35
1000652913759594600,1746620201813,42.60665,0.9229573,3594195,0.9642001,Valid,0.118609,-0.09959236,0.9879338,0,0,0,0.1552474,-0.0990843,0.9828939,-0.03456065,0,0,Tracked,4.240547,11.70092,0.3624115,0.7085674,0.08145778,-0.09996706,0.9916508,0.03456065,0,0,Tracked,4.284302,11.79979,0.3630828,0.7455641,69.35
1000652913764593900,1746620201835,42.62854,0.9216248,3594196,0.9810442,Valid,0.1182944,-0.09981244,0.9879493,0,0,0,0.1549883,-0.0993036,0.9829127,-0.03456065,0,0,Tracked,4.240942,11.70092,0.3624453,0.7087571,0.08108651,-0.1001872,0.991659,0.03456065,0,0,Tracked,4.283153,11.79979,0.3629854,0.7456299,69.35
