raw_timestamp,relative_to_unix_epoch_timestamp,relative_to_video_first_frame_timestamp,focus_distance,frame_number,stability,status,gaze_forward_x,gaze_forward_y,gaze_forward_z,gaze_origin_x,gaze_origin_y,gaze_origin_z,gaze_projected_to_left_view_x,gaze_projected_to_left_view_y,gaze_projected_to_right_view_x,gaze_projected_to_right_view_y,left_forward_x,left_forward_y,left_forward_z,left_origin_x,left_origin_y,left_origin_z,left_pupil_size,left_status,left_projected_x,left_projected_y,right_forward_x,right_forward_y,right_forward_z,right_origin_x,right_origin_y,right_origin_z,right_pupil_size,right_status,right_projected_x,right_projected_y,inter_pupillary_distance_in_mm,left_iris_diameter_in_mm,left_pupil_diameter_in_mm,left_pupil_iris_diameter_ratio,left_eye_openness,right_iris_diameter_in_mm,right_pupil_diameter_in_mm,right_pupil_iris_diameter_ratio,right_eye_openness
1000048597575678100,1746015888713474600,15340456000,2.000000,9708387,0.938583,2,0.132699,0.236987,0.962407,0.000000,0.000000,0.000000,0.530890,0.418946,-0.279540,0.419127,0.148073,0.236466,0.960291,-0.035162,0.000000,0.000000,0.073695,2,0.513199,0.418946,0.117228,0.237453,0.964299,0.035162,0.000000,0.000000,0.071721,2,-0.261716,0.419127,72.474998,12.474135,5.221822,0.418612,0.957455,12.488280,4.982847,0.399002,0.991507
1000048597580678500,1746015888718475000,15345456400,2.000000,9708388,0.983321,2,0.133586,0.237031,0.962274,0.000000,0.000000,0.000000,0.531718,0.419029,-0.278715,0.419210,0.152005,0.236395,0.959693,-0.035162,0.000000,0.000000,0.073546,2,0.516868,0.419029,0.115027,0.237587,0.964532,0.035162,0.000000,0.000000,0.071663,2,-0.263753,0.419210,72.474998,12.474135,5.193454,0.416338,0.957551,12.488280,4.980467,0.398811,0.991179
1000048597585678900,1746015888723475400,15350456800,2.000000,9708389,0.904487,2,0.139569,0.234615,0.962017,0.000000,0.000000,0.000000,0.537200,0.416481,-0.273209,0.416658,0.158001,0.233958,0.959322,-0.035162,0.000000,0.000000,0.073111,2,0.522389,0.416481,0.120991,0.235193,0.964389,0.035162,0.000000,0.000000,0.071523,2,-0.258286,0.416658,72.474998,12.474135,5.162216,0.413834,0.957376,12.488280,4.980146,0.398786,0.991047
1000048597590678300,1746015888728474800,15355456200,2.000000,9708390,0.792504,2,0.147239,0.231055,0.961735,0.000000,0.000000,0.000000,0.544224,0.412699,-0.266151,0.412869,0.165849,0.230366,0.958867,-0.035162,0.000000,0.000000,0.072888,2,0.529618,0.412699,0.128471,0.231665,0.964275,0.035162,0.000000,0.000000,0.071513,2,-0.251436,0.412869,72.474998,12.474135,5.145233,0.412472,0.958417,12.488280,4.980249,0.398794,0.990832
1000048597595679500,1746015888733476000,15360457400,2.000000,9708391,0.676277,2,0.153625,0.224760,0.962228,0.000000,0.000000,0.000000,0.549945,0.405757,-0.260354,0.405913,0.170526,0.224129,0.959524,-0.035162,0.000000,0.000000,0.072775,2,0.533779,0.405757,0.136588,0.225329,0.964661,0.035162,0.000000,0.000000,0.071515,2,-0.244065,0.405913,72.474998,12.474135,5.135027,0.411654,0.958726,12.488280,4.978810,0.398679,0.990444
1000048597600677200,1746015888738473700,15365455100,2.000000,9708392,0.557865,2,0.160237,0.218628,0.962562,0.000000,0.000000,0.000000,0.555896,0.399036,-0.254336,0.399179,0.179001,0.217912,0.959413,-0.035162,0.000000,0.000000,0.072646,2,0.541525,0.399036,0.141299,0.219267,0.965379,0.035162,0.000000,0.000000,0.071663,2,-0.239857,0.399179,72.474998,12.474135,5.130257,0.411272,0.958927,12.488280,4.977640,0.398585,0.989947
1000048597605677800,1746015888743474300,15370455700,2.000000,9708393,0.511928,2,0.162409,0.216268,0.962731,0.000000,0.000000,0.000000,0.557838,0.396441,-0.252368,0.396580,0.180604,0.215574,0.959641,-0.035162,0.000000,0.000000,0.072637,2,0.542948,0.396441,0.144046,0.216892,0.965509,0.035162,0.000000,0.000000,0.071743,2,-0.237365,0.396580,72.474998,12.474135,5.127459,0.411047,0.959034,12.488280,4.975973,0.398451,0.989509
1000048597610678300,1746015888748474800,15375456200,2.000000,9708394,0.482666,2,0.164028,0.214703,0.962807,0.000000,0.000000,0.000000,0.559294,0.394729,-0.250895,0.394865,0.182486,0.213996,0.959638,-0.035162,0.000000,0.000000,0.072593,2,0.544665,0.394729,0.145395,0.215338,0.965655,0.035162,0.000000,0.000000,0.071775,2,-0.236155,0.394865,72.474998,12.474135,5.124030,0.410772,0.959113,12.488280,4.974645,0.398345,0.989094
1000048597615677000,1746015888753473500,15380454900,2.000000,9708395,0.469916,2,0.164736,0.213734,0.962902,0.000000,0.000000,0.000000,0.559920,0.393657,-0.250258,0.393791,0.183197,0.213027,0.959718,-0.035162,0.000000,0.000000,0.072535,2,0.545298,0.393657,0.146100,0.214369,0.965764,0.035162,0.000000,0.000000,0.071796,2,-0.235526,0.393791,72.474998,12.474135,5.121325,0.410555,0.959199,12.488280,4.973079,0.398220,0.988732
1000048597620679200,1746015888758475700,15385457100,2.000000,9708396,0.465052,2,0.165215,0.213580,0.962854,0.000000,0.000000,0.000000,0.560365,0.393503,-0.249814,0.393637,0.183605,0.212875,0.959674,-0.035162,0.000000,0.000000,0.072466,2,0.545678,0.393503,0.146651,0.214215,0.965715,0.035162,0.000000,0.000000,0.071834,2,-0.235017,0.393637,72.474998,12.474135,5.118654,0.410341,0.959253,12.488280,4.971693,0.398109,0.988377
