time,hand,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,trigger_pressed,grip_pressed,primary_button_pressed,joystick_x,joystick_y,thumb,index,middle,ring,pinky
0.7109,Right,-0.1685,0.7110,0.3891,0.2999,0.1076,0.1457,0.9366,-0.0009,0.0034,-0.0035,-0.0107,0.0105,0.0156,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.7449,Left,-0.3707,0.7112,0.6143,0.1371,0.6578,-0.3285,0.6638,-0.0009,0.0010,-0.0007,0.0010,-0.0046,0.0111,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.7449,Right,-0.1686,0.7109,0.3891,0.2999,0.1078,0.1455,0.9366,-0.0012,0.0016,-0.0029,0.0015,0.0082,-0.0034,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.7760,Left,-0.3706,0.7113,0.6141,0.1368,0.6579,-0.3284,0.6638,0.0004,0.0028,-0.0025,-0.0061,0.0041,0.0205,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.7760,Right,-0.1688,0.7109,0.3891,0.2998,0.1077,0.1457,0.9366,-0.0036,0.0018,-0.0020,0.0005,-0.0096,0.0064,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.8112,Left,-0.3706,0.7114,0.6139,0.1364,0.6580,-0.3283,0.6638,-0.0004,0.0026,-0.0040,-0.0082,0.0081,0.0145,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.8112,Right,-0.1689,0.7110,0.3889,0.2997,0.1077,0.1460,0.9366,-0.0033,0.0025,-0.0022,-0.0031,-0.0021,0.0095,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.8421,Left,-0.3707,0.7114,0.6137,0.1364,0.6580,-0.3283,0.6638,-0.0029,0.0009,-0.0035,0.0029,-0.0016,0.0052,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.8421,Right,-0.1689,0.7113,0.3889,0.2997,0.1078,0.1461,0.9366,-0.0019,0.0044,-0.0016,-0.0062,0.0068,0.0061,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.8787,Left,-0.3709,0.7115,0.6138,0.1363,0.6579,-0.3282,0.6639,-0.0048,0.0012,-0.0008,-0.0014,-0.0058,0.0070,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.8787,Right,-0.1691,0.7113,0.3889,0.2996,0.1079,0.1461,0.9366,-0.0031,0.0026,-0.0012,-0.0020,0.0051,0.0026,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.9108,Left,-0.3712,0.7115,0.6137,0.1366,0.6578,-0.3282,0.6641,-0.0091,0.0006,-0.0020,0.0088,-0.0158,-0.0055,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.9108,Right,-0.1690,0.7114,0.3888,0.2996,0.1081,0.1462,0.9366,-0.0008,0.0029,-0.0015,-0.0029,0.0092,0.0034,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.9418,Left,-0.3716,0.7115,0.6137,0.1370,0.6576,-0.3282,0.6641,-0.0117,-0.0002,-0.0020,0.0107,-0.0092,-0.0163,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.9418,Right,-0.1691,0.7115,0.3887,0.2995,0.1083,0.1461,0.9366,0.0004,0.0029,-0.0029,-0.0020,0.0157,0.0052,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.9804,Left,-0.3718,0.7115,0.6136,0.1369,0.6578,-0.3283,0.6639,-0.0092,0.0008,-0.0028,0.0024,0.0133,-0.0058,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.9804,Right,-0.1691,0.7115,0.3886,0.2996,0.1087,0.1459,0.9365,0.0008,0.0022,-0.0029,0.0043,0.0259,-0.0049,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
1.0093,Left,-0.3722,0.7116,0.6135,0.1371,0.6578,-0.3283,0.6639,-0.0090,0.0025,-0.0022,0.0042,-0.0024,-0.0044,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
1.0093,Right,-0.1691,0.7116,0.3886,0.2996,0.1089,0.1457,0.9366,0.0003,0.0026,0.0000,-0.0034,0.0164,-0.0054,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
1.0439,Left,-0.3723,0.7117,0.6136,0.1370,0.6576,-0.3283,0.6641,-0.0071,0.0032,0.0020,-0.0080,-0.0108,0.0078,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
1.0439,Right,-0.1690,0.7117,0.3887,0.2995,0.1086,0.1460,0.9366,0.0009,0.0025,0.0018,0.0002,-0.0164,0.0122,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
